file_path,file_name,vulnerability_status,cwe_label
source\python-packages-1757595213589\source\pip\__init__.py,__init__.py,Benign,Benign
source\python-packages-1757595213589\source\pip\__main__.py,__main__.py,Benign,Benign
source\python-packages-1757595213589\source\pip\__pip-runner__.py,__pip-runner__.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\build_env.py,build_env.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\cache.py,cache.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\configuration.py,configuration.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\exceptions.py,exceptions.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\main.py,main.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\pyproject.py,pyproject.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\self_outdated_check.py,self_outdated_check.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\wheel_builder.py,wheel_builder.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\__init__.py,__init__.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\cli\autocompletion.py,autocompletion.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\cli\base_command.py,base_command.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\cli\cmdoptions.py,cmdoptions.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\cli\command_context.py,command_context.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\cli\index_command.py,index_command.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\cli\main.py,main.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\cli\main_parser.py,main_parser.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\cli\parser.py,parser.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\cli\progress_bars.py,progress_bars.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\cli\req_command.py,req_command.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\cli\spinners.py,spinners.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\cli\status_codes.py,status_codes.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\cli\__init__.py,__init__.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\commands\cache.py,cache.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\commands\check.py,check.py,Benign,Benign
