file_path,file_name,malicious_status,malicious_probability
source\python-packages-1757595213589\source\pip\__init__.py,__init__.py,benign,0.024952789768576622
source\python-packages-1757595213589\source\pip\__main__.py,__main__.py,malicious,0.9554271697998047
source\python-packages-1757595213589\source\pip\__pip-runner__.py,__pip-runner__.py,malicious,0.8993901014328003
source\python-packages-1757595213589\source\pip\_internal\build_env.py,build_env.py,benign,0.02493792027235031
source\python-packages-1757595213589\source\pip\_internal\cache.py,cache.py,benign,0.02590351738035679
source\python-packages-1757595213589\source\pip\_internal\configuration.py,configuration.py,benign,0.004721867851912975
source\python-packages-1757595213589\source\pip\_internal\exceptions.py,exceptions.py,benign,0.02926739677786827
source\python-packages-1757595213589\source\pip\_internal\main.py,main.py,benign,0.024901404976844788
source\python-packages-1757595213589\source\pip\_internal\pyproject.py,pyproject.py,benign,0.005122351460158825
source\python-packages-1757595213589\source\pip\_internal\self_outdated_check.py,self_outdated_check.py,benign,0.03605804964900017
source\python-packages-1757595213589\source\pip\_internal\wheel_builder.py,wheel_builder.py,benign,0.014396834187209606
source\python-packages-1757595213589\source\pip\_internal\__init__.py,__init__.py,benign,0.025233067572116852
source\python-packages-1757595213589\source\pip\_internal\cli\autocompletion.py,autocompletion.py,benign,0.19135761260986328
source\python-packages-1757595213589\source\pip\_internal\cli\base_command.py,base_command.py,benign,0.023396022617816925
source\python-packages-1757595213589\source\pip\_internal\cli\cmdoptions.py,cmdoptions.py,benign,0.013063938356935978
source\python-packages-1757595213589\source\pip\_internal\cli\command_context.py,command_context.py,benign,0.003946041688323021
source\python-packages-1757595213589\source\pip\_internal\cli\index_command.py,index_command.py,benign,0.01799624226987362
source\python-packages-1757595213589\source\pip\_internal\cli\main.py,main.py,benign,0.006275578867644072
source\python-packages-1757595213589\source\pip\_internal\cli\main_parser.py,main_parser.py,benign,0.014266054145991802
source\python-packages-1757595213589\source\pip\_internal\cli\parser.py,parser.py,benign,0.006030166056007147
source\python-packages-1757595213589\source\pip\_internal\cli\progress_bars.py,progress_bars.py,benign,0.028234519064426422
source\python-packages-1757595213589\source\pip\_internal\cli\req_command.py,req_command.py,benign,0.022756459191441536
source\python-packages-1757595213589\source\pip\_internal\cli\spinners.py,spinners.py,benign,0.03391711041331291
source\python-packages-1757595213589\source\pip\_internal\cli\status_codes.py,status_codes.py,benign,0.024829000234603882
source\python-packages-1757595213589\source\pip\_internal\cli\__init__.py,__init__.py,malicious,0.9526895880699158
source\python-packages-1757595213589\source\pip\_internal\commands\cache.py,cache.py,benign,0.005020397249609232
source\python-packages-1757595213589\source\pip\_internal\commands\check.py,check.py,benign,0.012569072656333447
source\python-packages-1757595213589\source\pip\_internal\commands\completion.py,completion.py,benign,0.026167891919612885
source\python-packages-1757595213589\source\pip\_internal\commands\configuration.py,configuration.py,benign,0.037424925714731216
source\python-packages-1757595213589\source\pip\_internal\commands\debug.py,debug.py,benign,0.03556951507925987
source\python-packages-1757595213589\source\pip\_internal\commands\download.py,download.py,benign,0.02322145365178585
source\python-packages-1757595213589\source\pip\_internal\commands\freeze.py,freeze.py,benign,0.015705250203609467
source\python-packages-1757595213589\source\pip\_internal\commands\hash.py,hash.py,benign,0.03317609801888466
source\python-packages-1757595213589\source\pip\_internal\commands\help.py,help.py,benign,0.021944090723991394
source\python-packages-1757595213589\source\pip\_internal\commands\index.py,index.py,benign,0.03234274312853813
source\python-packages-1757595213589\source\pip\_internal\commands\inspect.py,inspect.py,benign,0.03604383394122124
source\python-packages-1757595213589\source\pip\_internal\commands\install.py,install.py,benign,0.016543088480830193
source\python-packages-1757595213589\source\pip\_internal\commands\list.py,list.py,benign,0.02505633421242237
source\python-packages-1757595213589\source\pip\_internal\commands\lock.py,lock.py,benign,0.027589453384280205
source\python-packages-1757595213589\source\pip\_internal\commands\search.py,search.py,benign,0.015753692016005516
source\python-packages-1757595213589\source\pip\_internal\commands\show.py,show.py,benign,0.04586023837327957
source\python-packages-1757595213589\source\pip\_internal\commands\uninstall.py,uninstall.py,benign,0.009928625077009201
source\python-packages-1757595213589\source\pip\_internal\commands\wheel.py,wheel.py,benign,0.021468311548233032
source\python-packages-1757595213589\source\pip\_internal\commands\__init__.py,__init__.py,benign,0.01442871056497097
source\python-packages-1757595213589\source\pip\_internal\distributions\base.py,base.py,benign,0.009510969743132591
source\python-packages-1757595213589\source\pip\_internal\distributions\installed.py,installed.py,benign,0.007371500134468079
source\python-packages-1757595213589\source\pip\_internal\distributions\sdist.py,sdist.py,benign,0.007949495688080788
source\python-packages-1757595213589\source\pip\_internal\distributions\wheel.py,wheel.py,benign,0.016118573024868965
source\python-packages-1757595213589\source\pip\_internal\distributions\__init__.py,__init__.py,benign,0.032496679574251175
source\python-packages-1757595213589\source\pip\_internal\index\collector.py,collector.py,benign,0.031163206323981285
source\python-packages-1757595213589\source\pip\_internal\index\package_finder.py,package_finder.py,benign,0.07671806961297989
source\python-packages-1757595213589\source\pip\_internal\index\sources.py,sources.py,benign,0.023028284311294556
source\python-packages-1757595213589\source\pip\_internal\index\__init__.py,__init__.py,malicious,0.9526895880699158
source\python-packages-1757595213589\source\pip\_internal\locations\base.py,base.py,benign,0.010339409112930298
