file_path,file_name,malicious_status,malicious_probability
source\python-packages-1757595213589\source\pip\__init__.py,__init__.py,benign,0.02495279721915722
source\python-packages-1757595213589\source\pip\__main__.py,__main__.py,malicious,0.9554272294044495
source\python-packages-1757595213589\source\pip\__pip-runner__.py,__pip-runner__.py,malicious,0.8993901610374451
source\python-packages-1757595213589\source\pip\_internal\build_env.py,build_env.py,benign,0.02493792027235031
source\python-packages-1757595213589\source\pip\_internal\cache.py,cache.py,benign,0.02590351179242134
source\python-packages-1757595213589\source\pip\_internal\configuration.py,configuration.py,benign,0.004721865523606539
source\python-packages-1757595213589\source\pip\_internal\exceptions.py,exceptions.py,benign,0.029267381876707077
source\python-packages-1757595213589\source\pip\_internal\main.py,main.py,benign,0.02490139938890934
source\python-packages-1757595213589\source\pip\_internal\pyproject.py,pyproject.py,benign,0.0051223537884652615
source\python-packages-1757595213589\source\pip\_internal\self_outdated_check.py,self_outdated_check.py,benign,0.03605804219841957
source\python-packages-1757595213589\source\pip\_internal\wheel_builder.py,wheel_builder.py,benign,0.014396829530596733
source\python-packages-1757595213589\source\pip\_internal\__init__.py,__init__.py,benign,0.02523304894566536
source\python-packages-1757595213589\source\pip\_internal\cli\autocompletion.py,autocompletion.py,benign,0.1913575679063797
source\python-packages-1757595213589\source\pip\_internal\cli\base_command.py,base_command.py,benign,0.02339600771665573
source\python-packages-1757595213589\source\pip\_internal\cli\cmdoptions.py,cmdoptions.py,benign,0.01306393276900053
source\python-packages-1757595213589\source\pip\_internal\cli\command_context.py,command_context.py,benign,0.003946039825677872
source\python-packages-1757595213589\source\pip\_internal\cli\index_command.py,index_command.py,benign,0.017996251583099365
source\python-packages-1757595213589\source\pip\_internal\cli\main.py,main.py,benign,0.006275578867644072
source\python-packages-1757595213589\source\pip\_internal\cli\main_parser.py,main_parser.py,benign,0.014266040176153183
source\python-packages-1757595213589\source\pip\_internal\cli\parser.py,parser.py,benign,0.006030168849974871
